Name,Nationality,Weight,Frequency
A,Argentina,3,8
Aa,Argentina,2,6
Abr,Argentina,2,6
Abri,Argentina,8,68
Abrii,Argentina,2,4
Abriie,Argentina,2,3
Abriita,Argentina,2,6
Abril,Argentina,3,7
Abriy,Argentina,2,5
Ada,Argentina,1,2
Adai,Argentina,2,4
Adaita,Argentina,2,3
Adaito,Argentina,2,5
Adam,Argentina,2,5
Adami,Argentina,2,5
Adamito,Argentina,2,4
Adr,Argentina,2,6
Adri,Argentina,9,73
Adrian,Argentina,2,3
Adrii,Argentina,2,4
Adriie,Argentina,2,3
Adriito,Argentina,1,2
Adrita,Argentina,2,6
Adrito,Argentina,1,2
Adriy,Argentina,2,6
Adrián,Argentina,2,3
Ae,Argentina,2,4
Ag,Argentina,3,7
Agu,Argentina,2,5
Agui,Argentina,3,8
Aguita,Argentina,2,3
Aguito,Argentina,2,4
Agus,Argentina,8,62
Agusi,Argentina,2,4
Agusie,Argentina,2,3
Agusita,Argentina,2,6
Agusito,Argentina,2,4
Agustin,Argentina,3,8
Agustina,Argentina,2,6
Agustín,Argentina,1,2
Agusy,Argentina,3,7
Ai,Argentina,2,3
Al,Argentina,2,4
Ala,Argentina,1,2
Alai,Argentina,2,5
Alaita,Argentina,2,5
Alaito,Argentina,2,3
Alan,Argentina,7,49
Alani,Argentina,2,3
Alanito,Argentina,2,6
Alm,Argentina,3,8
Alma,Argentina,2,4
Almai,Argentina,2,4
Almaita,Argentina,3,7
Almi,Argentina,9,74
Am,Argentina,2,5
An,Argentina,2,3
Ang,Argentina,2,5
Ange,Argentina,1,1
Angei,Argentina,2,5
Angeie,Argentina,3,8
Angeito,Argentina,2,5
Angel,Argentina,2,5
Angelito,Argentina,7,44
Angey,Argentina,2,3
Angi,Argentina,2,3
Angita,Argentina,1,1
Angito,Argentina,2,3
Ant,Argentina,2,4
Anto,Argentina,2,6
Antoi,Argentina,2,6
Antoita,Argentina,2,4
Antonella,Argentina,1,2
Ao,Argentina,3,8
Ar,Argentina,2,6
Ari,Argentina,8,70
Aria,Argentina,2,6
Ariadna,Argentina,3,7
Ariai,Argentina,3,7
Ariaita,Argentina,2,4
Ariana,Argentina,1,2
As,Argentina,2,5
At,Argentina,2,4
Au,Argentina,2,5
Ay,Argentina,3,8
Ayl,Argentina,2,5
Ayle,Argentina,3,7
Aylei,Argentina,2,4
Ayleie,Argentina,3,8
Ayleita,Argentina,3,7
Aylen,Argentina,2,3
Ayley,Argentina,3,7
Aylé,Argentina,3,7
Ayléi,Argentina,2,5
Ayléie,Argentina,2,3
Ayléita,Argentina,2,5
Aylén,Argentina,2,3
Ayléy,Argentina,3,8
Aé,Argentina,2,5
B,Argentina,3,9
Ba,Argentina,2,3
Bau,Argentina,2,3
Baui,Argentina,2,6
Bauita,Argentina,2,5
Bauito,Argentina,2,4
Baut,Argentina,2,4
Bauti,Argentina,8,70
Bautista,Argentina,1,2
Bautito,Argentina,1,2
Be,Argentina,2,5
Bel,Argentina,2,3
Bele,Argentina,2,5
Belei,Argentina,1,2
Beleie,Argentina,1,2
Beleita,Argentina,2,3
Belen,Argentina,2,4
Beley,Argentina,1,2
Belu,Argentina,7,47
Belé,Argentina,2,4
Beléi,Argentina,3,7
Beléie,Argentina,2,4
Beléita,Argentina,2,4
Belén,Argentina,2,3
Beléy,Argentina,2,5
Ben,Argentina,2,5
Beni,Argentina,2,5
Benita,Argentina,2,4
Benito,Argentina,3,8
Benj,Argentina,2,6
Benja,Argentina,8,57
Benjamin,Argentina,1,2
Benjamín,Argentina,2,4
Benji,Argentina,1,2
Benjie,Argentina,2,4
Benjito,Argentina,2,4
Benjy,Argentina,2,4
Bi,Argentina,2,6
Bia,Argentina,2,3
Bian,Argentina,2,4
Bianca,Argentina,2,3
Biani,Argentina,3,7
Bianita,Argentina,2,4
Bj,Argentina,2,4
Bl,Argentina,1,2
Bn,Argentina,2,4
Bo,Argentina,2,5
Bre,Argentina,2,3
Bren,Argentina,2,5
Brenda,Argentina,2,3
Breni,Argentina,2,6
Brenita,Argentina,2,3
Bru,Argentina,8,60
Brui,Argentina,1,1
Bruita,Argentina,2,6
Bruito,Argentina,2,3
Brun,Argentina,2,3
Bruni,Argentina,2,4
Brunito,Argentina,2,5
Bruno,Argentina,2,4
Bt,Argentina,3,8
Bu,Argentina,2,4
By,Argentina,3,10
Bé,Argentina,2,5
C,Argentina,2,3
Ca,Argentina,2,3
Cam,Argentina,1,1
Cami,Argentina,8,62
Camii,Argentina,3,9
Camiita,Argentina,3,9
Camila,Argentina,2,4
Can,Argentina,2,4
Cand,Argentina,2,5
Cande,Argentina,7,52
Candela,Argentina,1,2
Candi,Argentina,2,4
Candita,Argentina,2,5
Car,Argentina,1,2
Caro,Argentina,1,2
Caroi,Argentina,3,7
Caroita,Argentina,3,7
Carolina,Argentina,2,6
Cat,Argentina,3,7
Cata,Argentina,7,53
Catai,Argentina,3,7
Cataita,Argentina,2,4
Catalina,Argentina,2,5
Cd,Argentina,3,9
Ce,Argentina,3,7
Ci,Argentina,2,3
Cie,Argentina,4,13
Ciel,Argentina,1,2
Cieli,Argentina,3,8
Cielita,Argentina,2,3
Cielo,Argentina,7,46
Cl,Argentina,2,4
Cla,Argentina,3,7
Clar,Argentina,2,4
Clara,Argentina,3,11
Clari,Argentina,8,60
Clarita,Argentina,2,6
Cm,Argentina,3,9
Cn,Argentina,2,4
