Name,Nationality,Weight,Frequency
Abr,Argentina,2,4
Abri,Argentina,2,6
Abrii,Argentina,3,8
Abriie,Argentina,3,7
Abriita,Argentina,3,9
Abril,Argentina,7,45
Abriy,Argentina,3,9
Agu,Argentina,3,9
Agus,Argentina,3,8
Agusi,Argentina,3,8
Agusita,Argentina,3,7
Agustina,Argentina,6,41
Agustina Belén,Argentina,2,5
Agustina Candela,Argentina,1,2
Agustina Carolina,Argentina,2,3
Agustina Daiana,Argentina,2,4
Agustina Elena,Argentina,2,4
Agustina Emilia,Argentina,2,3
Agustina Florencia,Argentina,2,5
Agustina Francesca,Argentina,2,3
Agustina Guadalupe,Argentina,2,5
Agustina Isabella,Argentina,2,4
Agustina Josefina,Argentina,2,3
Agustina Julieta,Argentina,2,4
Agustina Lara,Argentina,1,2
Agustina Lucía,Argentina,2,3
Agustina Luz,Argentina,2,3
Agustina Maia,Argentina,2,4
Agustina Maitena,Argentina,1,2
Agustina Maria,Argentina,1,2
Agustina Mia,Argentina,2,3
Agustina Micaela,Argentina,2,5
Agustina Milagros,Argentina,2,4
Agustina Mía,Argentina,1,2
Agustina Natalia,Argentina,2,4
Agustina Nati,Argentina,2,3
Agustina Noe,Argentina,3,7
Agustina Noelia,Argentina,2,4
Agustina Pilar,Argentina,2,3
Agustina Renata,Argentina,2,6
Agustina Rocío,Argentina,1,1
Agustina Sabrina,Argentina,2,3
Agustina Sol,Argentina,1,2
Agustina Tini,Argentina,2,4
Agustina Victoria,Argentina,2,3
Agustina Violeta,Argentina,2,3
Alm,Argentina,3,7
Alma,Argentina,7,45
Almai,Argentina,2,6
Almaita,Argentina,3,7
Ant,Argentina,2,6
Anto,Argentina,3,9
Antoi,Argentina,2,4
Antoita,Argentina,2,3
Antonella,Argentina,6,38
Ari,Argentina,1,2
Aria,Argentina,2,6
Ariadna,Argentina,6,39
Ariadna Abril,Argentina,2,6
Ariadna Alma,Argentina,2,4
Ariadna Antonella,Argentina,3,8
Ariadna Aylen,Argentina,2,3
Ariadna Aylén,Argentina,2,4
Ariadna Belen,Argentina,2,4
Ariadna Bianca,Argentina,2,6
Ariadna Brenda,Argentina,2,3
Ariadna Cande,Argentina,3,7
Ariadna Catalina,Argentina,3,7
Ariadna Cielo,Argentina,2,3
Ariadna Emilia,Argentina,2,4
Ariadna Florencia,Argentina,2,3
Ariadna Francesca,Argentina,2,5
Ariadna Jessica,Argentina,2,4
Ariadna Juana,Argentina,2,4
Ariadna Julieta,Argentina,2,4
Ariadna Lara,Argentina,2,3
Ariadna Lola,Argentina,2,4
Ariadna Maia,Argentina,2,4
Ariadna Malena,Argentina,2,3
Ariadna Maria,Argentina,1,2
Ariadna Martina,Argentina,2,5
Ariadna Milagros,Argentina,2,4
Ariadna Mili,Argentina,2,5
Ariadna Noe,Argentina,2,6
Ariadna Noelia,Argentina,2,5
Ariadna Renata,Argentina,2,5
Ariadna Rocio,Argentina,2,3
Ariadna Sabrina,Argentina,3,8
Ariadna Sofia,Argentina,1,2
Ariadna Tini,Argentina,2,3
Ariadna Valentina,Argentina,2,5
Ariadna Victoria,Argentina,2,5
Ariadna Zoe,Argentina,2,3
Ariai,Argentina,3,9
Ariaita,Argentina,2,6
Ariana,Argentina,8,57
Ariana Abril,Argentina,2,4
Ariana Agustina,Argentina,2,4
Ariana Ariadna,Argentina,2,5
Ariana Belen,Argentina,2,6
Ariana Candela,Argentina,2,6
Ariana Carolina,Argentina,1,2
Ariana Cielo,Argentina,1,1
Ariana Clara,Argentina,2,4
Ariana Daiana,Argentina,2,4
Ariana Delfina,Argentina,2,6
Ariana Elena,Argentina,2,4
Ariana Emilia,Argentina,2,5
Ariana Emma,Argentina,2,4
Ariana Francesca,Argentina,2,6
Ariana Guadalupe,Argentina,2,4
Ariana Jazmin,Argentina,2,3
Ariana Jessica,Argentina,1,2
Ariana Juana,Argentina,2,4
Ariana Julieta,Argentina,1,2
Ariana Lara,Argentina,2,5
Ariana Maia,Argentina,2,4
Ariana Maitena,Argentina,2,5
Ariana Malena,Argentina,1,2
Ariana Maria,Argentina,2,3
Ariana Micaela,Argentina,2,4
Ariana Mora,Argentina,2,4
Ariana Mía,Argentina,2,6
Ariana Olivia,Argentina,2,5
Ariana Pilar,Argentina,2,6
Ariana Renata,Argentina,1,1
Ariana Rocio,Argentina,1,2
Ariana Sabrina,Argentina,2,4
Ariana Sofía,Argentina,2,4
Ariana Tini,Argentina,1,2
Ariana Violeta,Argentina,2,4
Ayl,Argentina,3,10
Ayle,Argentina,2,3
Aylei,Argentina,3,11
Ayleie,Argentina,3,9
Ayleita,Argentina,3,9
Aylen,Argentina,7,54
Aylen Abril,Argentina,2,6
Aylen Ariadna,Argentina,2,4
Aylen Ariana,Argentina,3,7
Aylen Aylén,Argentina,2,4
Aylen Bianca,Argentina,1,2
Aylen Candela,Argentina,2,5
Aylen Carolina,Argentina,2,3
Aylen Catalina,Argentina,2,4
Aylen Cielo,Argentina,1,1
Aylen Daiana,Argentina,2,3
Aylen Delfina,Argentina,2,6
Aylen Elena,Argentina,1,2
Aylen Emilia,Argentina,1,2
Aylen Emma,Argentina,2,3
Aylen Jazmín,Argentina,3,7
Aylen Josefina,Argentina,2,5
Aylen Lola,Argentina,2,3
Aylen Luli,Argentina,2,3
Aylen Luz,Argentina,3,7
Aylen Macarena,Argentina,2,4
Aylen Maia,Argentina,1,2
Aylen Maitena,Argentina,2,4
Aylen Maria,Argentina,2,3
Aylen Martina,Argentina,3,7
Aylen Milagros,Argentina,2,4
Aylen Mora,Argentina,2,5
Aylen Noe,Argentina,2,3
Aylen Noelia,Argentina,2,4
Aylen Paula,Argentina,3,7
Aylen Rocio,Argentina,2,4
Aylen Rocío,Argentina,3,9
Aylen Sol,Argentina,1,2
Aylen Tini,Argentina,2,5
Aylen Violeta,Argentina,3,8
Aylen Zoe,Argentina,1,2
Ayley,Argentina,3,7
Aylé,Argentina,2,6
Ayléi,Argentina,3,7
Ayléie,Argentina,2,6
Ayléita,Argentina,2,5
Aylén,Argentina,7,52
Aylén Abril,Argentina,2,4
Aylén Agustina,Argentina,2,6
Aylén Antonella,Argentina,2,3
Aylén Ariadna,Argentina,3,8
Aylén Ariana,Argentina,2,4
Aylén Belen,Argentina,2,3
Aylén Bianca,Argentina,2,4
Aylén Camila,Argentina,2,6
Aylén Cande,Argentina,2,5
Aylén Candela,Argentina,2,4
Aylén Daiana,Argentina,2,4
Aylén Delfina,Argentina,2,4
Aylén Isabela,Argentina,2,4
Aylén Isabella,Argentina,2,3
Aylén Jessica,Argentina,2,4
Aylén Juana,Argentina,2,3
Aylén Julieta,Argentina,2,5
Aylén Lola,Argentina,2,4
Aylén Lucia,Argentina,2,5
Aylén Luli,Argentina,2,6
Aylén Luz,Argentina,2,6
Aylén Malena,Argentina,2,4
Aylén Martina,Argentina,2,6
Aylén Micaela,Argentina,2,5
Aylén Mora,Argentina,2,3
Aylén Nati,Argentina,2,5
Aylén Noe,Argentina,2,5
Aylén Noelia,Argentina,2,4
Aylén Pilar,Argentina,2,5
Aylén Renata,Argentina,2,6
Aylén Rocio,Argentina,2,5
Aylén Sabrina,Argentina,2,3
Aylén Sofia,Argentina,2,5
Aylén Valentina,Argentina,3,7
Aylén Violeta,Argentina,2,5
Ayléy,Argentina,4,16
Bel,Argentina,2,5
Bele,Argentina,2,5
Belei,Argentina,3,7
Beleie,Argentina,3,7
Beleita,Argentina,2,5
Belen,Argentina,7,47
Belen Abril,Argentina,2,3
Belen Agustina,Argentina,1,2
Belen Antonella,Argentina,2,3
Belen Ariadna,Argentina,3,7
Belen Brenda,Argentina,2,6
Belen Camila,Argentina,2,4
Belen Cande,Argentina,1,2
Belen Carolina,Argentina,2,3
Belen Delfina,Argentina,2,3
Belen Elena,Argentina,2,3
Belen Emma,Argentina,2,5
Belen Florencia,Argentina,2,4
Belen Francesca,Argentina,2,4
Belen Josefina,Argentina,1,2
Belen Juana,Argentina,2,6
Belen Lucía,Argentina,1,2
Belen Luz,Argentina,1,2
Belen Maitena,Argentina,2,5
Belen Maria,Argentina,2,5
Belen Martina,Argentina,2,3
Belen Micaela,Argentina,2,3
Belen Milagros,Argentina,2,6
Belen Mili,Argentina,3,7
Belen Natalia,Argentina,1,2
Belen Noe,Argentina,2,4
Belen Noelia,Argentina,2,4
Belen Paula,Argentina,2,3
Belen Renata,Argentina,2,6
Belen Rocío,Argentina,3,7
Belen Sabrina,Argentina,2,3
Belen Sofia,Argentina,2,5
Belen Valentina,Argentina,3,8
Belen Victoria,Argentina,2,4
Belen Violeta,Argentina,2,3
Beley,Argentina,1,2
Belé,Argentina,3,11
Beléi,Argentina,3,8
Beléie,Argentina,2,6
Beléita,Argentina,3,9
Belén,Argentina,7,56
Beléy,Argentina,2,5
Bia,Argentina,3,7
Bian,Argentina,2,3
Bianca,Argentina,6,36
Bianca Agustina,Argentina,1,2
Bianca Alma,Argentina,2,6
Bianca Ariadna,Argentina,3,7
Bianca Aylén,Argentina,1,2
Bianca Camila,Argentina,2,5
Bianca Cande,Argentina,1,2
Bianca Daiana,Argentina,2,6
Bianca Emma,Argentina,2,4
Bianca Francesca,Argentina,2,6
Bianca Guadalupe,Argentina,2,6
Bianca Isabela,Argentina,2,4
Bianca Jessica,Argentina,2,6
Bianca Juana,Argentina,2,4
Bianca Julieta,Argentina,2,3
Bianca Lola,Argentina,1,1
Bianca Lucía,Argentina,2,3
Bianca Maia,Argentina,2,3
Bianca Maitena,Argentina,2,5
Bianca Maria,Argentina,1,1
Bianca Martina,Argentina,2,3
Bianca Mercedes,Argentina,2,6
Bianca Mia,Argentina,2,5
Bianca Milagros,Argentina,2,5
Bianca Mili,Argentina,2,5
Bianca Noelia,Argentina,1,2
Bianca Paula,Argentina,2,4
Bianca Renata,Argentina,2,4
Bianca Rocio,Argentina,2,3
Bianca Rocío,Argentina,3,7
Bianca Sofia,Argentina,2,4
Bianca Tini,Argentina,1,2
Bianca Valentina,Argentina,2,6
Bianca Vicky,Argentina,2,6
Bianca Victoria,Argentina,2,3
Biani,Argentina,2,5
Bianita,Argentina,2,3
Bre,Argentina,2,5
Bren,Argentina,3,7
Brenda,Argentina,7,43
Breni,Argentina,2,5
Brenita,Argentina,2,5
Cam,Argentina,2,5
Cami,Argentina,3,7
Camii,Argentina,3,7
Camiita,Argentina,3,9
Camila,Argentina,7,44
Camila Agustina,Argentina,1,2
Camila Alma,Argentina,2,4
Camila Antonella,Argentina,2,6
Camila Ariadna,Argentina,3,7
Camila Ariana,Argentina,2,4
Camila Belen,Argentina,2,4
Camila Belén,Argentina,3,8
Camila Bianca,Argentina,1,2
Camila Carolina,Argentina,1,1
Camila Cielo,Argentina,1,2
Camila Clara,Argentina,2,6
Camila Daiana,Argentina,2,4
Camila Elena,Argentina,2,5
Camila Emilia,Argentina,2,3
Camila Francesca,Argentina,2,5
Camila Isabela,Argentina,1,2
Camila Jazmín,Argentina,2,4
Camila Josefina,Argentina,1,2
