Name,Nationality,Weight,Frequency
Acosta,Argentina,6,37
Aguero,Argentina,5,28
Aguero Acosta,Argentina,2,3
Aguero Arias,Argentina,1,2
Aguero Benitez,Argentina,2,3
Aguero Benítez,Argentina,1,2
Aguero Bustos,Argentina,1,2
Aguero Cabrera,Argentina,2,3
Aguero Campos,Argentina,2,3
Aguero Carrizo,Argentina,1,1
Aguero Castro,Argentina,1,2
Aguero Diaz,Argentina,1,2
Aguero Domínguez,Argentina,1,1
Aguero Díaz,Argentina,2,4
Aguero Fernandez,Argentina,1,2
Aguero Fernández,Argentina,2,3
Aguero Ferreyra,Argentina,1,2
Aguero Flores,Argentina,1,2
Aguero Franco,Argentina,2,3
Aguero Gimenez,Argentina,2,5
Aguero Godoy,Argentina,1,1
Aguero Gomez,Argentina,1,2
Aguero Gonzalez,Argentina,2,4
Aguero González,Argentina,2,5
Aguero Gómez,Argentina,2,6
Aguero Ledesma,Argentina,1,1
Aguero Lopez,Argentina,1,2
Aguero Medina,Argentina,2,6
Aguero Mendoza,Argentina,1,1
Aguero Molina,Argentina,1,1
Aguero Morales,Argentina,1,2
Aguero Navarro,Argentina,2,3
Aguero Núñez,Argentina,2,4
Aguero Peralta,Argentina,2,3
Aguero Perez,Argentina,1,2
Aguero Pérez,Argentina,1,1
Aguero Quiroga,Argentina,2,3
Aguero Rodriguez,Argentina,1,2
Aguero Rojas,Argentina,2,3
Aguero Sanchez,Argentina,2,4
Aguero Silva,Argentina,2,3
Aguero Sosa,Argentina,1,2
Aguero Suarez,Argentina,2,3
Aguero Suárez,Argentina,2,4
Aguero Sánchez,Argentina,1,2
Aguero Torres,Argentina,2,3
Aguero de Castro,Argentina,2,3
Aguero de Fernández,Argentina,1,2
Aguero de la Bustos,Argentina,1,2
Aguero del Cabrera,Argentina,1,1
Aguero del Diaz,Argentina,2,4
Aguero del Franco,Argentina,2,6
Aguero del Ledesma,Argentina,1,1
Aguero del Molina,Argentina,2,3
Aguero del Morales,Argentina,2,4
Aguero del Sanchez,Argentina,1,1
Aguero Álvarez,Argentina,1,1
Aguirre,Argentina,6,36
Aguirre Aguero,Argentina,1,2
Aguirre Arias,Argentina,3,7
Aguirre Benitez,Argentina,1,2
Aguirre Bustos,Argentina,2,3
Aguirre Cabrera,Argentina,2,5
Aguirre Campos,Argentina,1,2
Aguirre Castro,Argentina,1,2
Aguirre Diaz,Argentina,1,1
Aguirre Dominguez,Argentina,1,2
Aguirre Franco,Argentina,1,2
Aguirre Gimenez,Argentina,1,2
Aguirre Giménez,Argentina,2,3
Aguirre Godoy,Argentina,1,2
Aguirre Gomez,Argentina,2,3
Aguirre Gonzalez,Argentina,2,3
Aguirre Ibarra,Argentina,2,3
Aguirre Juarez,Argentina,1,2
Aguirre Juárez,Argentina,2,3
Aguirre Ledesma,Argentina,1,1
Aguirre Lescano,Argentina,2,4
Aguirre Lucero,Argentina,2,3
Aguirre Luna,Argentina,2,4
Aguirre Mansilla,Argentina,1,2
Aguirre Martinez,Argentina,2,3
Aguirre Martínez,Argentina,2,6
Aguirre Medina,Argentina,1,2
Aguirre Mendoza,Argentina,2,3
Aguirre Molina,Argentina,2,6
Aguirre Navarro,Argentina,2,3
Aguirre Ojeda,Argentina,1,2
Aguirre Peralta,Argentina,1,2
Aguirre Ponce,Argentina,1,1
Aguirre Pérez,Argentina,1,1
Aguirre Quiroga,Argentina,2,3
Aguirre Ramos,Argentina,1,1
Aguirre Ramírez,Argentina,2,5
Aguirre Rodriguez,Argentina,1,2
Aguirre Romero,Argentina,2,3
Aguirre Ruiz,Argentina,1,2
Aguirre Sanchez,Argentina,2,3
Aguirre Silva,Argentina,1,2
Aguirre Suarez,Argentina,2,3
Aguirre Suárez,Argentina,1,2
Aguirre Sánchez,Argentina,2,3
Aguirre de Campos,Argentina,2,3
Aguirre de Mansilla,Argentina,2,3
Aguirre de Martinez,Argentina,1,2
Aguirre de Rodriguez,Argentina,1,1
Aguirre de la Diaz,Argentina,2,3
Aguirre de la Gimenez,Argentina,2,5
Aguirre de la Gomez,Argentina,1,2
Aguirre de la Juárez,Argentina,2,3
Aguirre de la Ramírez,Argentina,2,4
Aguirre de la Sanchez,Argentina,1,1
Aguirre del Arias,Argentina,1,2
Aguirre del Franco,Argentina,2,3
Agüero,Argentina,5,30
Alvarez,Argentina,5,27
Alvarez Arias,Argentina,1,1
Alvarez Benitez,Argentina,2,4
Alvarez Bogado,Argentina,2,4
Alvarez Bustos,Argentina,2,3
Alvarez Campos,Argentina,1,2
Alvarez Castro,Argentina,1,1
Alvarez Correa,Argentina,2,5
Alvarez Diaz,Argentina,2,3
Alvarez Dominguez,Argentina,1,2
Alvarez Domínguez,Argentina,3,7
Alvarez Fernandez,Argentina,1,2
Alvarez Ferreyra,Argentina,1,1
Alvarez Flores,Argentina,2,4
Alvarez Franco,Argentina,3,7
Alvarez Godoy,Argentina,2,4
Alvarez Gonzalez,Argentina,2,4
Alvarez Gómez,Argentina,2,4
Alvarez Herrera,Argentina,2,3
Alvarez Juarez,Argentina,2,5
Alvarez Ledesma,Argentina,2,4
Alvarez Lucero,Argentina,2,3
Alvarez Luna,Argentina,2,3
Alvarez Mansilla,Argentina,1,1
Alvarez Martinez,Argentina,1,2
Alvarez Martínez,Argentina,2,3
Alvarez Medina,Argentina,2,3
Alvarez Mendoza,Argentina,1,1
Alvarez Molina,Argentina,1,2
Alvarez Morales,Argentina,2,3
Alvarez Nunez,Argentina,1,1
Alvarez Núñez,Argentina,1,2
Alvarez Ojeda,Argentina,2,3
Alvarez Peralta,Argentina,1,2
Alvarez Perez,Argentina,1,2
Alvarez Quiroga,Argentina,1,2
Alvarez Ramirez,Argentina,2,4
Alvarez Ramírez,Argentina,1,1
Alvarez Rodriguez,Argentina,2,4
Alvarez Rodríguez,Argentina,2,3
Alvarez Suarez,Argentina,1,1
Alvarez Suárez,Argentina,1,1
Alvarez Villagra,Argentina,2,6
Alvarez Villanueva,Argentina,2,3
Alvarez de Castro,Argentina,2,3
Alvarez de Godoy,Argentina,1,2
Alvarez de Nunez,Argentina,2,3
Alvarez de Peralta,Argentina,1,1
Alvarez de Ramírez,Argentina,2,3
Alvarez de la Bustos,Argentina,1,2
Alvarez de la Flores,Argentina,1,2
Alvarez de la Franco,Argentina,1,2
Alvarez de la Gómez,Argentina,2,3
Alvarez de la Martinez,Argentina,1,2
Alvarez del Benitez,Argentina,2,4
Alvarez del Molina,Argentina,1,1
Alvarez del Morales,Argentina,2,3
Alvarez Álvarez,Argentina,2,3
Arias,Argentina,5,27
Arias Acosta,Argentina,2,3
Arias Aguero,Argentina,2,5
Arias Agüero,Argentina,1,2
Arias Alvarez,Argentina,2,6
Arias Bustos,Argentina,2,4
Arias Campos,Argentina,1,2
Arias Correa,Argentina,1,2
Arias Domínguez,Argentina,1,2
Arias Escobar,Argentina,1,2
Arias Fernandez,Argentina,2,3
Arias Ferreyra,Argentina,1,2
Arias Franco,Argentina,2,3
Arias Gimenez,Argentina,2,3
Arias Gomez,Argentina,1,2
Arias Gonzalez,Argentina,1,2
Arias Gómez,Argentina,1,1
Arias Herrera,Argentina,2,5
Arias Juarez,Argentina,2,5
Arias Lopez,Argentina,2,4
Arias Luna,Argentina,1,2
Arias Maidana,Argentina,1,2
Arias Medina,Argentina,2,6
Arias Molina,Argentina,1,1
Arias Morales,Argentina,2,3
Arias Navarro,Argentina,1,2
Arias Núñez,Argentina,2,3
Arias Ojeda,Argentina,2,4
Arias Ortiz,Argentina,1,1
Arias Paz,Argentina,2,3
Arias Peralta,Argentina,2,3
Arias Pereyra,Argentina,2,5
Arias Perez,Argentina,1,2
Arias Ponce,Argentina,2,4
Arias Ramos,Argentina,1,2
Arias Rojas,Argentina,1,2
Arias Romero,Argentina,1,1
Arias Ruiz,Argentina,1,2
Arias Silva,Argentina,2,3
Arias Sosa,Argentina,1,2
Arias Sánchez,Argentina,2,3
Arias Villagra,Argentina,2,3
Arias Villalba,Argentina,1,1
Arias Villanueva,Argentina,2,4
Arias de Alvarez,Argentina,1,1
Arias de Juarez,Argentina,2,4
Arias de Ponce,Argentina,2,4
Arias de Villalba,Argentina,2,4
Arias de la Campos,Argentina,2,5
Arias de la Escobar,Argentina,1,2
Arias de la Ojeda,Argentina,2,4
Arias de la Paz,Argentina,2,3
Arias de la Romero,Argentina,2,4
Arias del Acosta,Argentina,1,1
Arias del Gómez,Argentina,2,3
Arias del Álvarez,Argentina,2,5
Arias Álvarez,Argentina,2,3
Benitez,Argentina,5,26
Benítez,Argentina,6,40
Bogado,Argentina,5,28
Bogado Agüero,Argentina,2,5
Bogado Alvarez,Argentina,1,1
Bogado Arias,Argentina,1,1
Bogado Benítez,Argentina,1,2
Bogado Cabrera,Argentina,2,3
Bogado Campos,Argentina,1,2
Bogado Castro,Argentina,3,8
Bogado Correa,Argentina,1,2
Bogado Diaz,Argentina,1,2
Bogado Dominguez,Argentina,2,3
Bogado Domínguez,Argentina,2,3
Bogado Díaz,Argentina,1,2
Bogado Fernandez,Argentina,2,3
Bogado Ferreyra,Argentina,2,4
Bogado Flores,Argentina,2,3
Bogado Franco,Argentina,2,6
Bogado Giménez,Argentina,2,3
Bogado Godoy,Argentina,1,2
Bogado Gonzalez,Argentina,1,2
Bogado Herrera,Argentina,1,2
Bogado Ibarra,Argentina,1,2
Bogado Juarez,Argentina,2,3
Bogado Juárez,Argentina,1,2
Bogado Ledesma,Argentina,2,4
Bogado Lescano,Argentina,2,3
Bogado Lopez,Argentina,1,2
Bogado Maidana,Argentina,1,2
Bogado Mansilla,Argentina,1,2
Bogado Molina,Argentina,2,3
Bogado Morales,Argentina,2,3
Bogado Nunez,Argentina,2,4
Bogado Núñez,Argentina,1,1
Bogado Peralta,Argentina,2,5
Bogado Quiroga,Argentina,2,3
Bogado Ramirez,Argentina,2,3
Bogado Ramírez,Argentina,2,3
Bogado Rodriguez,Argentina,1,2
Bogado Rojas,Argentina,1,2
Bogado Ruiz,Argentina,1,2
Bogado Sanchez,Argentina,2,6
Bogado Silva,Argentina,2,4
Bogado Suarez,Argentina,2,3
Bogado Torres,Argentina,2,4
Bogado Vega,Argentina,1,2
Bogado Villanueva,Argentina,2,4
Bogado de Benítez,Argentina,2,4
Bogado de Giménez,Argentina,2,3
Bogado de Rojas,Argentina,2,4
Bogado de la Gonzalez,Argentina,2,3
Bogado de la Quiroga,Argentina,1,2
Bogado del Fernandez,Argentina,1,2
